date	likes	retweets	replies
Fri, 16 Oct 2020 21:30:00 GMT	53201	15925	4249
Fri, 16 Oct 2020 22:10:00 GMT	21333	5946	2865
Fri, 16 Oct 2020 22:26:58 GMT	10646	2449	2097
Fri, 16 Oct 2020 23:20:00 GMT	92516	17253	3604
Fri, 16 Oct 2020 23:54:00 GMT	36660	8041	3986
Sat, 17 Oct 2020 00:32:00 GMT	18129	5268	4512
Sat, 17 Oct 2020 14:01:00 GMT	211917	56843	16055
Sat, 17 Oct 2020 14:30:00 GMT	140201	19287	5854
Sat, 17 Oct 2020 15:30:00 GMT	72188	21370	4050
Sat, 17 Oct 2020 16:00:01 GMT	36737	8579	2346
Sat, 17 Oct 2020 16:15:00 GMT	14335	3420	1771
Sat, 17 Oct 2020 16:59:00 GMT	41863	11341	10567
Sat, 17 Oct 2020 18:00:00 GMT	52263	10714	6574
Sat, 17 Oct 2020 19:20:00 GMT	17976	4118	3658
Sat, 17 Oct 2020 19:55:00 GMT	182343	47874	9232
Sat, 17 Oct 2020 21:15:00 GMT	59243	11425	5396
Sat, 17 Oct 2020 22:15:00 GMT	73038	15924	12980
Sat, 17 Oct 2020 23:15:00 GMT	24429	5351	5320
Sun, 18 Oct 2020 00:30:00 GMT	102423	18358	15977
Sun, 18 Oct 2020 14:20:00 GMT	27514	5678	4055
Sun, 18 Oct 2020 15:08:00 GMT	182664	46326	14464
Sun, 18 Oct 2020 16:30:00 GMT	10102	2330	3318
Sun, 18 Oct 2020 17:00:00 GMT	15812	4620	2027
Sun, 18 Oct 2020 17:34:22 GMT	12639	3011	2430
Sun, 18 Oct 2020 18:30:00 GMT	58538	12993	5896
Sun, 18 Oct 2020 19:15:00 GMT	26896	6684	4906
Sun, 18 Oct 2020 20:00:00 GMT	89350	16729	9591
Sun, 18 Oct 2020 21:06:00 GMT	14883	3634	2519
Sun, 18 Oct 2020 21:18:01 GMT	4949	2130	700
Sun, 18 Oct 2020 21:35:00 GMT	39301	9579	4868
Sun, 18 Oct 2020 22:15:00 GMT	117872	23404	21284
Sun, 18 Oct 2020 23:10:00 GMT	135972	17969	14528
Mon, 19 Oct 2020 00:00:01 GMT	1325884	231370	44027
Mon, 19 Oct 2020 01:00:00 GMT	22316	5029	5331
Mon, 19 Oct 2020 12:40:35 GMT	1281091	189677	15264
Mon, 19 Oct 2020 13:30:00 GMT	420431	48132	31025
Mon, 19 Oct 2020 15:12:13 GMT	38576	10290	3071
Mon, 19 Oct 2020 15:45:00 GMT	34574	9709	5146
Mon, 19 Oct 2020 17:07:00 GMT	26061	6231	4253
Mon, 19 Oct 2020 19:02:00 GMT	30927	6721	4716
Mon, 19 Oct 2020 19:40:00 GMT	19651	5231	2319
Mon, 19 Oct 2020 20:22:07 GMT	478772	56018	6224
Mon, 19 Oct 2020 22:46:00 GMT	37279	6761	5559
Mon, 19 Oct 2020 23:10:00 GMT	38024	8588	3849
Tue, 20 Oct 2020 00:07:00 GMT	80252	18984	4996
Tue, 20 Oct 2020 00:44:00 GMT	350376	37785	29786
Tue, 20 Oct 2020 01:05:00 GMT	216937	35986	7224
Tue, 20 Oct 2020 01:20:00 GMT	19008	4635	3520
Tue, 20 Oct 2020 14:36:00 GMT	62109	12768	7000
Tue, 20 Oct 2020 15:45:00 GMT	12727	3390	1078
Tue, 20 Oct 2020 15:58:00 GMT	13211	3176	1419
Tue, 20 Oct 2020 16:10:00 GMT	282904	27345	12932
Tue, 20 Oct 2020 17:04:16 GMT	41110	6054	1048
Tue, 20 Oct 2020 17:04:16 GMT	109446	19645	4007
Tue, 20 Oct 2020 17:04:17 GMT	31501	5587	1605
Tue, 20 Oct 2020 17:45:00 GMT	575448	69969	38275
