date	likes	retweets	replies
Tue, 10 Nov 2020 15:33:47 GMT	521598	93469	59038
Tue, 10 Nov 2020 15:51:40 GMT	316114	65847	35034
Tue, 10 Nov 2020 16:04:57 GMT	346676	74666	35468
Tue, 10 Nov 2020 16:09:59 GMT	68153	47725	2871
Tue, 10 Nov 2020 16:49:04 GMT	193442	36318	11744
Tue, 10 Nov 2020 17:13:39 GMT	188581	36915	10836
Tue, 10 Nov 2020 17:13:57 GMT	400106	62226	52398
Tue, 10 Nov 2020 18:50:10 GMT	59023	17063	3500
Tue, 10 Nov 2020 19:50:31 GMT	50039	15040	2599
Tue, 10 Nov 2020 20:17:24 GMT	89805	15231	3876
Tue, 10 Nov 2020 20:38:11 GMT	57225	16987	9353
Tue, 10 Nov 2020 21:55:17 GMT	63524	18812	5807
Tue, 10 Nov 2020 23:01:26 GMT	63791	21695	5059
Tue, 10 Nov 2020 23:21:51 GMT	454052	107873	58754
Wed, 11 Nov 2020 00:02:00 GMT	41907	15147	2693
Wed, 11 Nov 2020 00:04:44 GMT	151863	35670	9338
Wed, 11 Nov 2020 00:06:20 GMT	128910	36657	9324
Wed, 11 Nov 2020 00:07:59 GMT	163691	46033	15222
Wed, 11 Nov 2020 00:40:31 GMT	142140	64101	28201
Wed, 11 Nov 2020 00:55:12 GMT	397682	92179	48408
Wed, 11 Nov 2020 01:55:26 GMT	291069	66119	20270
Wed, 11 Nov 2020 01:59:13 GMT	252425	58638	23462
Wed, 11 Nov 2020 02:06:22 GMT	165847	31642	9184
Wed, 11 Nov 2020 02:09:38 GMT	150263	40488	8704
Wed, 11 Nov 2020 02:15:42 GMT	222540	68502	14327
Wed, 11 Nov 2020 02:20:13 GMT	125847	35218	11842
Wed, 11 Nov 2020 02:26:46 GMT	181115	44065	21361
Wed, 11 Nov 2020 02:37:06 GMT	253698	58896	34223
Wed, 11 Nov 2020 02:49:52 GMT	52113	13627	3709
Wed, 11 Nov 2020 03:27:21 GMT	99474	34817	5153
Wed, 11 Nov 2020 03:41:22 GMT	222839	62408	36577
Wed, 11 Nov 2020 04:49:56 GMT	73057	25640	6537
Wed, 11 Nov 2020 13:08:42 GMT	36146	10605	2551
Wed, 11 Nov 2020 13:35:55 GMT	296932	68809	38394
Wed, 11 Nov 2020 13:47:23 GMT	32475	8932	1475
Wed, 11 Nov 2020 13:48:12 GMT	143021	36918	20619
Wed, 11 Nov 2020 14:03:03 GMT	333102	73708	67663
Wed, 11 Nov 2020 14:44:47 GMT	87728	26738	8001
Wed, 11 Nov 2020 15:07:17 GMT	194853	36706	18655
Wed, 11 Nov 2020 17:04:43 GMT	30431	6643	2237
Wed, 11 Nov 2020 17:13:45 GMT	232500	45312	21492
Wed, 11 Nov 2020 18:38:33 GMT	82306	21288	9364
Wed, 11 Nov 2020 19:53:51 GMT	296193	61076	25486
Wed, 11 Nov 2020 20:31:26 GMT	49872	20193	4513
Wed, 11 Nov 2020 20:52:37 GMT	137026	35636	12636
Wed, 11 Nov 2020 20:59:21 GMT	317710	117389	64874
Wed, 11 Nov 2020 21:14:02 GMT	204513	42576	34480
Wed, 11 Nov 2020 23:04:47 GMT	452141	117497	105856
Wed, 11 Nov 2020 23:48:57 GMT	491431	86532	58516
Wed, 11 Nov 2020 23:50:49 GMT	356828	70926	41078
Thu, 12 Nov 2020 00:13:08 GMT	407866	105617	80744
Thu, 12 Nov 2020 00:31:00 GMT	42630	13379	5397
Thu, 12 Nov 2020 00:33:49 GMT	51678	14635	4494
Thu, 12 Nov 2020 02:08:36 GMT	53750	17003	2650
Thu, 12 Nov 2020 02:21:27 GMT	323637	80661	49263
